Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
64	-97.13333	11.318813	-43.0	-100.0	0.06666667	0.0	0.0	-100.0	0.0	-100.0	-100.0	96.2	100.0	99	-6.245481	4.4666657	0.0154308155	-21.385513	-6.24565	4.465094	0.029300526	-21.504564	-3.274497	1.2094046	1.7243729	-10.195348	5.608273	0.7035836	50015.434797525406
65	-98.73333	6.8212094	-62.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	97.73333	100.0	99	-6.2534537	4.441847	0.0072473735	-21.080786	-6.2529526	4.4399834	0.05916542	-21.354887	-3.264978	1.2141865	3.2741566	-11.309967	5.612432	0.7088705	50795.306622982025
66	-90.86667	24.39226	-7.0	-100.0	0.0	0.16666667	0.0	-93.0	0.0	-93.0	-93.0	89.86667	93.0	99	-6.251312	4.44025	-0.008566089	-21.494667	-6.251302	4.438874	0.020036235	-21.348112	-3.2572002	1.2164017	2.0775785	-10.970186	5.6129303	0.6956086	51516.377655267715
67	-91.066666	25.034554	-1.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	90.066666	100.0	99	-6.228685	4.4053855	0.0030761808	-20.6914	-6.2287254	4.403658	0.05343443	-20.976027	-3.27027	1.2130027	2.4944353	-11.904768	5.5951447	0.6979302	52243.167440891266
68	-96.066666	16.87786	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	95.066666	100.0	99	-6.2228017	4.4039216	0.034817703	-21.483156	-6.223264	4.40242	0.05673466	-22.977757	-3.2633522	1.2215315	2.349636	-11.676204	5.591556	0.70296174	53003.48331642151
69	-100.0	0.0	-100.0	-100.0	0.0	0.0	0.0	-100.0	0.0	-100.0	-100.0	99.0	100.0	99	-6.218727	4.3885665	0.019259207	-20.892353	-6.218446	4.38727	0.05656641	-21.38504	-3.2599838	1.2155945	2.0266333	-10.824282	5.5862966	0.70863646	53791.8700940609
70	-96.8	16.684126	-7.0	-100.0	0.0	0.06666667	0.0	-98.0	0.0	-98.0	-98.0	95.8	98.0	99	-6.22984	4.3762493	0.025480196	-21.569485	-6.230131	4.373864	0.0406688	-21.452326	-3.2473388	1.2265226	1.9407105	-11.153744	5.595673	0.7240022	54556.77704811096
71	-99.86667	0.718022	-96.0	-100.0	0.033333335	0.0	0.0	-100.0	0.0	-100.0	-100.0	98.9	100.0	99	-6.234704	4.3716764	-0.0018362179	-20.756289	-6.234559	4.3704286	0.04223995	-20.59032	-3.2510324	1.218926	2.1497355	-11.456743	5.6033845	0.7128149	55346.14895987511
72	-96.433334	16.640678	-8.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	95.433334	100.0	99	-6.243268	4.347604	0.023925744	-20.852325	-6.2434716	4.3452106	0.070688315	-21.081663	-3.2575774	1.2186418	2.197843	-10.659342	5.6169157	0.72796184	56106.86014533043
73	-93.46667	20.943947	-10.0	-100.0	0.033333335	0.06666667	0.0	-51.0	0.0	-51.0	-51.0	92.5	51.0	99	-6.229387	4.3440747	0.005768433	-20.874195	-6.2290545	4.34224	0.051739767	-21.406788	-3.2186801	1.2445403	1.7280083	-13.4177885	5.603701	0.72868884	56838.24904155731
74	-93.7	18.980957	-10.0	-100.0	0.033333335	0.16666667	0.0	-20.0	0.0	-20.0	-20.0	92.73333	21.0	99	-6.235323	4.3131394	0.0055034086	-21.094841	-6.235246	4.311272	0.10958552	-21.662445	-3.2247307	1.2395936	2.1474485	-11.252171	5.607234	0.72121835	57564.28922915459
75	-95.03333	18.438156	-7.0	-100.0	0.033333335	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.066666	100.0	99	-6.2782607	4.2912407	0.004582487	-20.38998	-6.2780747	4.28931	0.0858524	-21.002216	-3.2279325	1.236282	2.1432934	-11.876284	5.6581097	0.74514586	58319.43455076218
76	-92.26667	23.442034	-8.0	-100.0	0.033333335	0.1	0.033333335	-34.0	0.0	-34.0	-34.0	91.3	34.0	99	-6.2679715	4.2792554	0.010717548	-20.983467	-6.268006	4.2772236	0.07379771	-21.061789	-3.213259	1.2384052	2.2712998	-11.277205	5.651832	0.75338125	59039.80005264282
77	-91.23333	20.072674	-9.0	-100.0	0.033333335	0.26666668	0.0	-45.0	0.0	-45.0	-45.0	90.26667	45.0	94	-6.310933	4.2609296	0.03184957	-20.876228	-6.3113103	4.260162	0.07878717	-21.15603	-3.2207148	1.2352959	2.086524	-10.618997	5.700757	0.746964	59758.00790810585
78	-94.63333	13.977324	-47.0	-100.0	0.06666667	0.13333334	0.0	-50.0	0.0	-50.0	-50.0	93.7	50.0	98	-6.4381175	4.257168	-0.009562239	-21.410711	-6.4379997	4.2562275	0.08725228	-21.90173	-3.2407422	1.2259905	2.184966	-11.788719	5.8387575	0.75316775	60500.07439351082
