Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
63	-79.6	25.5181	-14.0	-100.0	0.43333334	0.13333334	0.06666667	-100.0	0.0	-100.0	-100.0	79.03333	100.0	50	-6.600044	5.310763	-0.06616198	-27.618376	-6.6002545	5.31089	-0.09985802	-27.75112	-3.1919904	1.2379445	0.8893347	-12.824936	6.01096	0.59871	38216.47669816017
64	-63.433334	34.465137	-9.0	-100.0	0.4	0.26666668	0.16666667	-100.0	0.0	-100.0	-100.0	62.833332	100.0	99	-6.5681324	5.2760687	-0.07204799	-28.371115	-6.568048	5.2762046	-0.08833249	-27.770414	-3.180895	1.2411746	0.68743896	-11.683723	5.979318	0.5898941	38755.47377252579
65	-65.96667	32.272263	-8.0	-100.0	0.33333334	0.3	0.23333333	-83.0	0.0	-83.0	-83.0	65.3	84.0	99	-6.5485773	5.258723	-0.07194826	-28.463863	-6.548825	5.258456	-0.09639582	-28.34887	-3.1687272	1.252836	0.9593773	-11.915956	5.957103	0.577005	39307.11267662048
66	-66.36667	33.49177	-9.0	-100.0	0.36666667	0.23333333	0.16666667	-22.0	0.0	-22.0	-22.0	65.73333	23.0	99	-6.557302	5.246714	-0.07165685	-28.711872	-6.557096	5.246481	-0.09281397	-28.539806	-3.1678808	1.2476181	0.9401655	-12.886019	5.965361	0.5795477	39847.57473921776
67	-86.833336	16.830692	-42.0	-100.0	0.4	0.1	0.033333335	-100.0	0.0	-100.0	-100.0	86.23333	100.0	69	-6.5149283	5.2116694	-0.069255844	-28.19395	-6.5147886	5.2119823	-0.08178001	-28.324455	-3.1513205	1.2518948	1.0969477	-12.40136	5.9248724	0.5800921	40551.952550172806
68	-78.166664	31.614431	-8.0	-100.0	0.3	0.13333334	0.13333334	-100.0	0.0	-100.0	-100.0	77.46667	100.0	39	-6.518012	5.2171555	-0.06555402	-28.693478	-6.5177183	5.217413	-0.08061907	-28.522976	-3.1465192	1.2604154	1.2194309	-11.625309	5.92682	0.5710896	41192.23016524315
69	-75.7	32.53731	-6.0	-100.0	0.33333334	0.13333334	0.06666667	-18.0	0.0	-18.0	-18.0	75.03333	19.0	86	-6.4969788	5.1955104	-0.061369255	-29.318714	-6.4971914	5.195223	-0.078048706	-29.251915	-3.1775117	1.2406509	1.2843609	-11.888783	5.9127626	0.57693654	41796.67836332321
70	-78.6	26.178362	-7.0	-100.0	0.36666667	0.13333334	0.1	-37.0	0.0	-37.0	-37.0	77.96667	38.0	84	-6.523946	5.1893654	-0.054269493	-28.915169	-6.5236692	5.189246	-0.07804342	-29.172728	-3.1802084	1.2419728	0.81758404	-11.579246	5.9428277	0.58011675	42428.927628040314
71	-73.63333	32.089962	-7.0	-100.0	0.3	0.2	0.13333334	-23.0	0.0	-23.0	-23.0	72.933334	24.0	72	-6.475226	5.124545	-0.03748025	-29.269506	-6.4757423	5.1247807	-0.072086364	-29.397696	-3.1564276	1.2496139	1.1415095	-10.296843	5.889581	0.59624463	43019.7048830986
72	-80.46667	30.079597	-6.0	-100.0	0.23333333	0.16666667	0.13333334	-17.0	0.0	-17.0	-17.0	79.7	18.0	99	-6.489198	5.1265984	-0.04400221	-29.342075	-6.4889383	5.1272683	-0.06441686	-29.396353	-3.1324687	1.2615447	1.0289545	-10.839235	5.904271	0.5810373	43655.58748579025
