Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
54	-15.3	17.330418	-6.0	-100.0	0.0	0.96666664	0.9	-7.0	0.0	-7.0	-7.0	14.3	7.0	8	-4.4860015	4.037669	-0.046641607	-17.973705	-4.4860344	4.036465	-0.051790427	-18.245691	-3.4987535	1.0285499	1.0182934	-10.677916	3.7906127	0.4154864	11235.916692018509
55	-13.8	16.52957	-6.0	-100.0	0.0	0.96666664	0.8666667	-6.0	0.0	-6.0	-6.0	12.8	6.0	17	-4.5069094	4.0627136	-0.054945618	-18.192919	-4.5066295	4.062162	-0.05633033	-18.047731	-3.497629	1.0250486	1.2691412	-11.503317	3.817688	0.447032	11393.203018665314
56	-14.0	6.57774	-7.0	-30.0	0.0	1.0	0.9	-100.0	0.0	-100.0	-100.0	13.0	100.0	7	-4.5238395	4.0876517	-0.044466905	-17.978556	-4.52382	4.0864167	-0.056722067	-18.002708	-3.4975328	1.027421	1.0146675	-12.685316	3.8335025	0.43234152	11573.176312923431
57	-23.3	30.315176	-4.0	-100.0	0.0	0.8666667	0.76666665	-6.0	0.0	-6.0	-6.0	22.3	6.0	15	-4.541495	4.1043916	-0.05900413	-18.185122	-4.541716	4.1030574	-0.06491407	-17.912296	-3.4907663	1.038581	2.2541132	-10.528847	3.85328	0.4466383	11799.401554584503
58	-15.1	16.900394	-1.0	-100.0	0.0	0.96666664	0.8666667	-7.0	0.0	-7.0	-7.0	14.1	7.0	5	-4.598387	4.1460476	-0.059231915	-18.333033	-4.5983763	4.14485	-0.059702285	-18.206152	-3.5078971	1.0181859	1.5183125	-10.7317095	3.9189217	0.462623	11966.505560874939
59	-18.1	22.435612	-7.0	-100.0	0.0	0.93333334	0.9	-5.0	0.0	-5.0	-5.0	17.1	5.0	19	-4.629659	4.181644	-0.053385474	-18.665613	-4.6299014	4.179561	-0.046783566	-18.385136	-3.4967806	1.0358664	1.6710739	-12.438707	3.950356	0.4844518	12154.792341947556
60	-14.366667	16.491379	-4.0	-100.0	0.0	0.96666664	0.96666664	-8.0	0.0	-8.0	-8.0	13.366667	8.0	17	-4.7063904	4.2406387	-0.060929175	-18.781998	-4.7063875	4.238469	-0.06587325	-18.625648	-3.5014222	1.0269153	1.4745378	-10.609359	4.031364	0.5005847	12317.386359453201
61	-20.666666	22.338806	-7.0	-100.0	0.0	0.93333334	0.9	-6.0	0.0	-6.0	-6.0	19.666666	6.0	8	-4.743856	4.2893424	-0.06871481	-18.39847	-4.7435794	4.2874007	-0.06777229	-18.34039	-3.5074263	1.0213051	9.0991335	-10.694634	4.072854	0.52370715	12523.242351293564
62	-24.966667	30.05493	-6.0	-100.0	0.0	0.8666667	0.8666667	-6.0	0.0	-6.0	-6.0	23.966667	6.0	9	-4.825649	4.347724	-0.073107116	-18.230484	-4.8261375	4.3451023	-0.06233189	-18.17415	-3.5204585	1.0123547	1.0903769	-10.342865	4.1659484	0.56755954	12758.715223550797
63	-21.433332	26.679184	-7.0	-100.0	0.0	0.9	0.8666667	-6.0	0.0	-6.0	-6.0	20.433332	6.0	7	-4.925618	4.411271	-0.076906875	-18.657108	-4.9256706	4.408249	-0.06239307	-18.295982	-3.5358663	1.0036091	0.99543667	-11.126652	4.2686296	0.5860913	12970.470760583878
